X,F,G
"[19.47795143653224, 12.25127696241982, 8.085408173475066, 8.255117141523495, 1.8132360807270194]","[49.882989794677634, 111.05812276961387, 0.6599047437217176]","[-0.11701020532236583, -5.4786371095013555, -6.166201703580279, -6.098654420761747, -5.6831516074964545, -6.015215254104886, -5.085468920637078, -9.376867266147116, -9.94207246489104, -9.929456850524632, -9.51784722795484, -9.76849480251976, -8.973260426475294, -47.79629643562583, -49.825678294727496, -49.838009517117456, -48.26798120531217, -49.1356141353254, -46.18213437041615, -99.43109908628873, -56.240598064250506, -82.87372913396007, -98.48658427051618, -99.70676872731083, -99.99993407253537]"
"[13.358373907164237, 8.782851728056391, 11.036952834626689, 7.648602165658528, 8.983862162113619]","[49.810642797619465, 139.6087081061622, 0.08767720704886661]","[-0.18935720238053477, -6.162271502927272, -6.1334288593046224, -6.060534159139915, -6.001125586337803, -6.1324193135106, -5.692743307620886, -9.968026234988727, -9.967796470594646, -9.923922127021683, -9.923498377210345, -9.956323110294694, -9.782174384008233, -49.96618067253596, -49.99193075356819, -49.93797673543229, -49.97896383160943, -49.95462430093677, -49.77691958385368, -99.95593961608635, -54.64122765209124, -82.87168197389268, -98.47519423125343, -99.71659075869155, -99.99997517002912]"
"[1.5177808520269882, 1.019237430076512, 1.973852267398212, 1.5674135654722303, 1.8716902885164057]","[7.949974403490348, 229.72428644122525, 31.005601444227118]","[-42.050025596509656, -5.381043895850109, -4.684893117489852, -3.6223167272396366, -2.574611411092925, -5.420503751411858, -0.9892215477188202, -8.932242458785309, -7.335181404959032, -5.13008595025573, -3.8599884497431853, -8.76828087098264, -0.05939196808771463, -43.354930362043405, -43.27075792842453, -30.539005516379483, -34.61674471825375, -44.61044321809949, -0.5651000284047001, -94.31451742278648, -43.32336524303253, -82.01185032780134, -97.5636502521663, -99.63395369615081, -99.99874525252966]"
"[1.5229101800528257, 1.0238154022877373, 1.98610793447961, 1.5876939868887041, 1.8818176887171114]","[8.002345192425988, 231.27844499933957, 30.556298718998793]","[-41.99765480757401, -5.383854245710803, -4.6877996647796465, -3.6186377909732035, -2.5671417275531496, -5.426472529264555, -1.0004047347324851, -8.938533034450018, -7.350933003660206, -5.167716691734323, -3.8974439815258934, -8.779835018286668, -0.16615928147272108, -43.42554188852259, -43.31070937249848, -30.857210260656988, -34.743651448429375, -44.76349606566706, -1.4685745784548345, -94.29822313465932, -43.28567194594737, -82.01889934432808, -97.56135985375089, -99.63401583338089, -99.9987580400821]"
"[19.491692453204923, 12.247066757748435, 8.070440926785848, 8.253947897361611, 1.8292512144599982]","[49.89239924956082, 111.0622567314386, 0.6482549778649095]","[-0.10760075043918249, -5.488866192511925, -6.166695225742004, -6.098505365130599, -5.69086133160093, -6.0187667482302185, -5.101291443846012, -9.387221701109805, -9.943107298806021, -9.929420586970027, -9.525702748860033, -9.772303006892043, -8.990278134765461, -47.8472869246285, -49.83050271720322, -49.84003194371509, -48.30735840666532, -49.15417005109286, -46.26486567102218, -99.44088219104682, -56.23885488751404, -82.87374839416503, -98.48646567583161, -99.70661534577906, -99.99993515215552]"
"[1.5183147123363496, 1.0226108647044285, 1.9727521178878638, 1.5585655835115624, 1.881052654598699]","[7.953295933038904, 228.8296463028371, 30.93017481048365]","[-42.0467040669611, -5.381334548028166, -4.689810980723025, -3.636523764077986, -2.5961813988149522, -5.42072813707535, -0.9897994269676698, -8.937760406671575, -7.34679909045158, -5.141339635131321, -3.88536744304336, -8.768226051474029, -0.05968054916691479, -43.40284376059599, -43.33291977594715, -30.567160637329962, -34.6822635123119, -44.617379474646654, -0.644747407627527, -94.33888949976364, -43.45078390486037, -82.01334506799198, -97.57371345178812, -99.63482276843168, -99.9987474828152]"
"[1.5248376761885072, 1.03376795875841, 1.986150180658672, 1.5838889558510076, 1.9005382878713342]","[8.029183059327933, 230.07453183384987, 30.235120564498768]","[-41.970816940672066, -5.3848144838459975, -4.699619277444079, -3.6423743951240684, -2.604318185722521, -5.42929645103255, -1.0077526909674246, -8.942300245963635, -7.380305461261202, -5.205372256446316, -3.9606811359897254, -8.78273652102203, -0.21528434432456223, -43.49967727281337, -43.436291988137675, -31.047056457856275, -34.92005141088792, -44.84973338211155, -1.993470852500252, -94.3306802016889, -43.475847624974975, -82.02390836998559, -97.5795948527596, -99.63599067280661, -99.99876850088185]"
"[2.307513848935604, 1.2385369446069208, 1.5242420526417413, 1.4308098953431858, 1.5702023211607676]","[8.07130506268822, 142.5912210071321, 21.802030996343298]","[-41.92869493731178, -5.59040227766299, -5.368594089227084, -4.714462318201525, -4.497424054517543, -5.180076965292383, -2.2704615360891385, -8.94215860311001, -8.717571930964153, -6.671963147300778, -6.802972307294073, -8.008440989410063, -1.4685437496092284, -43.57453460168669, -47.847471503409224, -34.34401581418515, -44.16012446985028, -38.63943584419691, -0.26839415178881865, -98.59124966184042, -51.24746467730134, -82.44155752976346, -98.23492943933607, -99.7017766499374, -99.99894869674951]"
"[8.60338333631621, 6.872089643252376, 10.845884048281041, 7.52057921201871, 7.25228699493419]","[41.09422323480253, 174.00527883745553, 0.16995310907477823]","[-8.905776765197473, -6.12272224607711, -6.036496456867522, -5.921584416618529, -5.777423888532866, -6.126168105558966, -5.566935257859678, -9.944902157241692, -9.932226391708816, -9.873614009389431, -9.840854051482001, -9.958231120354899, -9.697672388982264, -49.92304574782197, -49.97791655663479, -49.89066242296003, -49.94819270556136, -49.94829024873285, -49.6339675443299, -99.86980178448385, -54.108288038591866, -82.862341440486, -98.46485257454847, -99.71487074706424, -99.99996566645527]"
"[5.529888341410159, 4.2946807884829346, 6.684920446359754, 3.4207801279607057, 5.076220859749222]","[25.00649056396277, 166.52333564364721, 0.7378193268716471]","[-24.99350943603723, -6.034837764844037, -5.902034464242678, -5.769409746467506, -5.5402646344442825, -6.016618262130455, -5.024130728300563, -9.892360162104834, -9.833647549819261, -9.66883061766584, -9.61631998120509, -9.86068671404686, -9.103353100453832, -49.77988491048549, -49.915742960112304, -49.48579825826627, -49.79557817213699, -49.73687605658543, -48.301406354079184, -99.68304108012335, -53.327067697351886, -82.83186277839373, -98.44450597593907, -99.71614513077752, -99.99989641554559]"
"[2.3176519283479715, 1.2457283364275622, 1.5322244929366555, 1.4350056307545418, 1.5654308179526268]","[8.096041206419358, 142.26327490320998, 21.551644510721843]","[-41.90395879358064, -5.588046854500874, -5.37320883617029, -4.725340459268411, -4.508200291817835, -5.186494702949007, -2.3019868027573347, -8.936990449646457, -8.73055493507777, -6.708376314044996, -6.835926610373669, -8.028376562191106, -1.5407092195045635, -43.532854198186584, -47.88000475605208, -34.533275484829, -44.24962083461729, -38.726678735466955, -0.6204364422567039, -98.6076167246802, -51.30455947530918, -82.44603312655457, -98.23797918218924, -99.70198384586824, -99.99895940353717]"
"[1.966601779685429, 1.5944137847340676, 1.3152009548190098, 2.1895881198556304, 1.4468593681257955]","[8.512664007219932, 144.32877482629317, 19.522458024987305]","[-41.48733599278007, -5.501875906603155, -5.409738361853657, -4.4160039842639085, -4.258401963474164, -5.156317582159144, -2.139937744917444, -8.58066774648799, -8.80903158477487, -6.744055529376665, -6.767246515369873, -8.377430520964962, -2.6067486148528323, -40.198107913005245, -47.99794910211811, -37.12313877151772, -44.51655561596102, -41.63747919571859, -9.326511086973326, -97.3608895377385, -50.10293131958814, -81.98415686804616, -98.21315150241703, -99.69699147727418, -99.99907592615078]"
"[2.9484179415401215, 1.7005667005448457, 1.5541446290192549, 1.6318449535375594, 1.2831681705140143]","[9.118142395155797, 124.90639981139205, 15.732030189445997]","[-40.8818576048442, -5.42303061679056, -5.616934551483197, -5.10084148040836, -5.019786504815601, -5.289504108317232, -3.1526617317376298, -8.475244543203807, -9.23547805423341, -7.7412954185855956, -8.092942701157197, -8.373193581951675, -3.2623468956049804, -39.325621687106576, -49.02294783312946, -39.39628582194682, -43.28804980503956, -39.133509181299274, -4.947725557452728, -98.74807351658107, -53.767295326165026, -82.55574149692919, -98.35641863923543, -99.70467667163176, -99.9992414058073]"
"[2.881756898846282, 2.348379654848607, 2.1010574071926102, 2.4663173366077036, 2.213202679208085]","[12.010713976703286, 141.19709122543557, 6.403697114242516]","[-37.989286023296714, -5.777497819877841, -5.6794321539138135, -5.206335343579779, -5.080056532746697, -5.580694855770305, -3.6570984755972122, -9.386992685929771, -9.448050111499123, -8.55037412903854, -8.575015289456621, -9.247092495392064, -6.387335580294922, -47.147038955111434, -49.3752373585409, -45.61241165690055, -48.286272099318005, -47.12092757574639, -35.78149033531334, -98.95134523093375, -53.81547613919162, -82.66714851160302, -98.37917188922052, -99.7066193954044, -99.99957625761671]"
"[6.78280566431492, 4.318091732531642, 2.731314343977291, 2.576125470362481, 1.0]","[17.408337211186335, 114.43390501726606, 6.9718206627381205]","[-32.591662788813665, -5.064784997674196, -5.940788333154261, -5.744350254277326, -5.369845171620665, -5.701467401289818, -4.127551853335486, -7.826601385920021, -9.745810410391616, -9.400068713851857, -8.263857369795748, -9.107993807172338, -6.071908991451374, -33.934193274428196, -49.40873615230802, -47.470440757869085, -36.62670756363386, -42.55613696313057, -17.521825630653616, -98.06398781335609, -55.75693223099578, -82.83580212178617, -98.46673553021043, -99.69781663499612, -99.99970914367555]"
"[1.7949940448116277, 1.7400758088157975, 1.985359996233551, 1.3508004570380499, 1.639359956621791]","[8.510590263520816, 155.37433716510176, 18.09554930391525]","[-41.48940973647918, -5.4966042781534, -5.261520087781577, -4.856688503216405, -4.292859538408756, -5.464788946022914, -2.7572521282681617, -8.85536284025989, -8.706536670539785, -7.271208072965093, -6.917151935361348, -8.89067651513882, -2.7002200704619908, -42.505991405169596, -48.04116600601361, -37.71488728019279, -45.067148304101224, -43.72138139577786, -8.692072766146616, -97.26554616311056, -51.00998086560298, -82.33086305003569, -98.23095923865999, -99.69853319611828, -99.9991796690024]"
