X,F,G
"[3.9002119520092045, 1.904995987540611, 4.193099576956777]","[9.998307516506593, 52.63198050814242, 0.5483238993981845]","[-0.0016924834934073374, -5.988947301688751, -6.024104251245712, -6.058766053604884, -6.199352940456736, -6.175644950749132, -6.07442214070861, -9.87264012848568, -9.797000943598679, -9.8303039304719, -9.91775223647098, -9.919626096776236, -9.784137174252713, -49.716538465441715, -49.451371873950265, -49.661015273093085, -49.79458302566659, -49.82839442414184, -49.41333405066561, -99.80775416531407, -61.50317329213638, -82.78182917919615, -98.50559236043152, -99.9084797360576, -99.99996163201655]"
"[4.998537119687602, 1.833513256985426, 3.1500955579780547]","[9.982145934651083, 51.94544496481945, 0.8163140027915853]","[-0.017854065348917203, -5.995882780458249, -5.9623839717714056, -5.984352263141578, -6.215773350104548, -6.140583195178655, -6.076856412289502, -9.827426889956305, -9.688521182313394, -9.726146354890638, -9.928092764070708, -9.86831734199571, -9.752317417397279, -49.54145259916286, -48.88397335774425, -49.06576146654013, -49.78817703247422, -49.547898162635015, -49.15428708631336, -99.67496541609589, -61.57277216270185, -82.73100247565294, -98.50329902366425, -99.90673574843798, -99.99994977908324]"
"[0.7606431419543941, 1.0, 1.0]","[2.760643141954394, 82.02608317565965, 36.35173975668051]","[-7.239356858045606, -4.641235607905123, -5.30278658299935, -5.030229580067524, -5.964443783999635, -5.704381224229685, -5.726226360944451, -5.833957596458827, -7.178709674734754, -6.10916214595405, -8.969065569439138, -8.21700015919864, -8.1738968039888, -0.0021749947216846977, -40.03362124255594, -37.7235574207353, -40.88514065364103, -44.39401024459145, -30.25838414663719, -91.32954022897623, -53.857094836736586, -81.93821992145449, -98.45410852621964, -99.840902823274, -99.99924078232962]"
"[4.53083447860539, 1.6120011074620682, 3.065143086019255]","[9.207978672086712, 52.17389426029557, 0.9844633584358644]","[-0.7920213279132877, -5.963777617000371, -5.940765552849923, -5.969239726385957, -6.2061971031020295, -6.1331003521847265, -6.055064318963569, -9.82535645167408, -9.649209946537898, -9.697936535006653, -9.911610786875253, -9.854388493641984, -9.706008930172976, -49.55695281720575, -48.67720634104505, -48.92098090901891, -49.7250954343928, -49.476055453326126, -48.957376319745066, -99.65196063667821, -61.35346655269202, -82.70934287656726, -98.50184961588788, -99.90746748356901, -99.99994550297893]"
"[1.3281376661605846, 1.0, 1.3936362595149607]","[3.721773925675545, 56.40623016676193, 11.110407483679113]","[-6.278226074324455, -5.463559807923913, -5.628586309301521, -5.642207942786244, -6.092314545976461, -5.980801739898466, -5.822822446027383, -8.578486569346044, -8.731062127360234, -8.64162923768017, -9.50947899413009, -9.370535039206572, -8.777084139705824, -37.986556387163645, -40.918223986401884, -44.33021627428532, -46.64875512527716, -47.13473443056236, -40.371497267956116, -98.11417422758754, -59.47270088884072, -82.27491381525768, -98.47350496783211, -99.90126807275217, -99.99966649445678]"
"[0.9104090906232989, 1.0010619954495235, 1.0006038002577209]","[2.9120748863305432, 69.92774026202977, 26.731521273701336]","[-7.087925113669456, -5.013256941662876, -5.406498704689097, -5.299525186073325, -6.031104508992628, -5.827970293670491, -5.7379867393681065, -6.8556857222658145, -7.817230831731594, -7.2380194210803985, -9.204930845300868, -8.729316398089262, -8.251740044482501, -13.075893222034153, -33.83350701948899, -41.08221580241013, -43.04495613119755, -45.394275444145734, -31.190522792422136, -95.46068633323185, -55.92587171882699, -81.98197882376564, -98.45621947537322, -99.86509610582725, -99.99936380370909]"
"[0.8608422083158118, 1.0, 1.0]","[2.8608422083158116, 72.84451888442452, 29.087216853308703]","[-7.139157791684188, -4.910593511809288, -5.395912679804331, -5.225652026842166, -6.013012730793114, -5.794100657682228, -5.734055561272881, -6.624415245427453, -7.670243873036382, -6.9426205992421135, -9.140466815858904, -8.596003899676829, -8.22564868821869, -9.59372540270175, -35.39319034038414, -41.11347912907126, -42.452125108197066, -45.9460477741403, -30.872481894000472, -94.41635886375944, -55.445861520886396, -81.98141328437686, -98.4569360948166, -99.8591692577461, -99.99933067638037]"
"[0.9244897968974196, 1.0024211120263167, 1.007564140737171]","[2.9344750496609073, 69.21192721201146, 25.9520967860919]","[-7.065524950339093, -5.038153267052532, -5.413676064077386, -5.318500399617379, -6.035125845979982, -5.836695019179777, -5.740970440822199, -6.9316653637090475, -7.862122942045483, -7.315226448220397, -9.221966679507494, -8.764387648132645, -8.270261010153085, -14.299914496212324, -33.85563146623238, -40.88241864075292, -43.23300193020549, -45.31131476801343, -31.5175295236984, -95.66561578016434, -56.08296624532941, -81.99114834496872, -98.45666952569198, -99.86691162924234, -99.99937631677786]"
"[2.6336794638473218, 1.3980294104010904, 3.951738510734886]","[7.9834473849832985, 53.898369813958396, 1.1276139841324855]","[-2.0165526150167015, -5.848338165823911, -5.995547648108807, -5.989358673280169, -6.139138420180318, -6.146692962968465, -5.976310152845584, -9.71931045417004, -9.73058373139368, -9.686317154240047, -9.830345667709553, -9.857641177050255, -9.629484099864579, -49.41419349073747, -49.32989289307943, -49.62656287619776, -49.51044827896861, -49.831951751673664, -48.880709611481784, -99.6773530016869, -61.033110044305715, -82.7798049066743, -98.50326177875368, -99.91176768429675, -99.99993699736662]"
"[1.1069000744464252, 1.0, 1.2406789389923252]","[3.3475790134387506, 61.00512739982808, 16.01398661710989]","[-6.65242098656125, -5.274152100741054, -5.56875399813275, -5.519282460132147, -6.063612806704917, -5.929352048943664, -5.793011971416994, -7.972457237484447, -8.4579891040256, -8.121555519792159, -9.385630862660072, -9.135652997665838, -8.595173889845444, -30.313544914096, -39.54267238036414, -44.3642087512424, -45.389373181384656, -47.07664959948974, -37.64448640999613, -97.52514673858346, -58.47874245249939, -82.20361596568891, -98.46931834652966, -99.89138421586509, -99.99956182493618]"
